epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,10594.4,0.53067,0.30809,0.84707,0.97064,0.95122,0.97894,0.88038,0.3913,0.22725,0.82129,0.000910876,0.000910876,0.000910876
99,10702.2,0.52663,0.3085,0.84664,0.97265,0.9512,0.97944,0.88119,0.38982,0.22683,0.82088,0.000909088,0.000909088,0.000909088
100,10810.4,0.52896,0.30876,0.84823,0.97337,0.95343,0.97923,0.88128,0.38803,0.22621,0.82055,0.000907284,0.000907284,0.000907284
101,10918.6,0.5254,0.30645,0.84552,0.97336,0.95156,0.97952,0.88276,0.3861,0.22511,0.82012,0.000905463,0.000905463,0.000905463
102,11027,0.5245,0.30837,0.84697,0.97205,0.95281,0.97922,0.88364,0.38466,0.2247,0.81972,0.000903627,0.000903627,0.000903627
103,11135.2,0.52298,0.30699,0.84615,0.97402,0.9507,0.97962,0.88404,0.38292,0.22375,0.81935,0.000901776,0.000901776,0.000901776
104,11243.3,0.51916,0.3045,0.84599,0.97671,0.9519,0.98002,0.8852,0.38121,0.22314,0.81889,0.000899908,0.000899908,0.000899908
105,11351.6,0.52042,0.3061,0.84604,0.97622,0.95262,0.97994,0.88604,0.38037,0.22251,0.81859,0.000898025,0.000898025,0.000898025
106,11460,0.518,0.30303,0.84425,0.9746,0.95381,0.97982,0.88552,0.37907,0.22187,0.81817,0.000896127,0.000896127,0.000896127
107,11568.3,0.51505,0.30058,0.84396,0.97481,0.95246,0.98021,0.88661,0.37785,0.22127,0.81796,0.000894213,0.000894213,0.000894213
108,11676.5,0.5121,0.30093,0.84393,0.97438,0.95299,0.98018,0.88744,0.37605,0.22026,0.81756,0.000892283,0.000892283,0.000892283
109,11784.7,0.51036,0.29839,0.8432,0.97502,0.95146,0.98015,0.8874,0.37479,0.21979,0.8172,0.000890339,0.000890339,0.000890339
110,11892.4,0.51502,0.29893,0.84444,0.97577,0.95213,0.97933,0.88761,0.3736,0.21892,0.81676,0.000888379,0.000888379,0.000888379
111,12000.7,0.50806,0.29608,0.84326,0.9733,0.95238,0.97953,0.8886,0.37221,0.21818,0.81642,0.000886404,0.000886404,0.000886404
112,12109.8,0.50581,0.29481,0.84131,0.97572,0.95205,0.98029,0.88989,0.37106,0.21731,0.81614,0.000884414,0.000884414,0.000884414
113,12219,0.5032,0.29268,0.84001,0.97395,0.95224,0.98081,0.89124,0.36971,0.21649,0.81575,0.000882409,0.000882409,0.000882409
114,12328.4,0.50473,0.2952,0.84004,0.97684,0.95225,0.98053,0.8916,0.36845,0.21558,0.81549,0.000880389,0.000880389,0.000880389
115,12438.6,0.49931,0.29295,0.83956,0.97682,0.952,0.98193,0.8925,0.36717,0.21496,0.81524,0.000878354,0.000878354,0.000878354
116,12547.5,0.50269,0.29522,0.83991,0.97685,0.95174,0.9821,0.89381,0.36618,0.21477,0.81491,0.000876305,0.000876305,0.000876305
117,12656.9,0.49601,0.28916,0.8362,0.97706,0.9514,0.98217,0.89369,0.36504,0.2142,0.81461,0.000874241,0.000874241,0.000874241
118,12765.7,0.49599,0.29012,0.84016,0.97778,0.95122,0.98222,0.89386,0.36392,0.21363,0.81437,0.000872162,0.000872162,0.000872162
119,12874.1,0.49839,0.28915,0.83854,0.97616,0.95105,0.98228,0.89541,0.36277,0.21291,0.81411,0.000870069,0.000870069,0.000870069
120,12983.5,0.49756,0.29022,0.84002,0.97597,0.95121,0.98232,0.89562,0.3618,0.21255,0.81381,0.000867961,0.000867961,0.000867961
121,13093.6,0.49585,0.29079,0.83914,0.97633,0.95166,0.98153,0.89636,0.36077,0.21205,0.8136,0.000865839,0.000865839,0.000865839
122,13203.5,0.49384,0.28759,0.83707,0.97495,0.95358,0.98174,0.89624,0.35983,0.21158,0.81332,0.000863703,0.000863703,0.000863703
123,13312.5,0.49377,0.29175,0.83909,0.97465,0.95416,0.9818,0.89703,0.35891,0.21096,0.81309,0.000861553,0.000861553,0.000861553
124,13422.2,0.48976,0.28545,0.83766,0.97075,0.95677,0.98087,0.89764,0.35791,0.21045,0.81284,0.000859389,0.000859389,0.000859389
125,13530.4,0.49033,0.28767,0.83678,0.97074,0.95641,0.98094,0.89809,0.35706,0.20996,0.81261,0.00085721,0.00085721,0.00085721
126,13638.3,0.48978,0.28754,0.8375,0.97103,0.95698,0.98104,0.89805,0.35617,0.20967,0.81242,0.000855018,0.000855018,0.000855018
127,13747.3,0.48523,0.28483,0.83737,0.97102,0.95832,0.98107,0.89803,0.35524,0.20915,0.8122,0.000852812,0.000852812,0.000852812
128,13856.4,0.4838,0.28379,0.83363,0.97075,0.95927,0.98102,0.89864,0.35448,0.20862,0.81203,0.000850592,0.000850592,0.000850592
129,13965.7,0.48728,0.28506,0.83578,0.96994,0.96008,0.98101,0.899,0.35359,0.2082,0.81185,0.000848358,0.000848358,0.000848358
130,14074,0.48447,0.28311,0.836,0.96929,0.96076,0.98138,0.89931,0.35274,0.20771,0.81168,0.000846111,0.000846111,0.000846111
131,14182.1,0.47723,0.27938,0.83308,0.96868,0.96113,0.98146,0.9005,0.35193,0.20726,0.81155,0.000843851,0.000843851,0.000843851
